      ra          dec            significance
      349.990     -56.2071       3.0896826
      352.458     -59.9678       3.0896056
      347.551     -51.2604       3.0892944
      346.950     -57.8312       3.0889344
      355.514     -59.6542       3.0885680
      350.386     -55.3417       3.0874581
      355.518     -54.9521       3.0873044
      359.148     -51.5215       3.0868282
      344.515     -52.1512       3.0849786
      356.297     -53.5715       3.0846293
      355.638     -53.1646       3.0834167
      355.718     -55.8484       3.0831020
      352.979     -51.2479       3.0829465
      358.098     -57.8459       3.0821471
      359.130     -50.9609       3.0820525
      347.435     -55.4416       3.0815153
      351.562     -52.0354       3.0812297
      354.603     -55.9667       3.0810885
      357.597     -57.9583       3.0805726
      359.044     -51.9250       3.0805397
      358.695     -51.9991       3.0803649
      354.535     -51.7570       3.0796692
      350.350     -57.8986       3.0792394
      346.804     -55.4721       3.0791020
      350.224     -52.2979       3.0786874
     0.140533     -58.6264       3.0772753
      347.725     -51.5583       3.0770221
      350.280     -51.3521       3.0767877
      354.310     -54.8762       3.0757785
      355.045     -57.0125       3.0755162
      344.368     -57.3292       3.0752916
      358.607     -55.2285       3.0750158
      345.387     -49.7042       3.0743589
      355.122     -50.3071       3.0743015
      355.035     -58.8708       3.0738757
      347.442     -50.2496       3.0737834
      354.343     -54.7785       3.0729237
      356.216     -56.4021       3.0727742
      354.850     -51.2458       3.0724449
      352.811     -54.8779       3.0719719
      347.360     -58.6507       3.0719309
     0.121124     -50.2679       3.0705578
      348.178     -59.3709       3.0696776
      347.952     -50.1451       3.0695701
      347.659     -56.0396       3.0687966
      352.233     -57.4583       3.0680468
      347.242     -59.4302       3.0673945
      359.642     -51.6224       3.0667098
      354.090     -55.0719       3.0665467
      347.850     -51.0208       3.0663798
      345.830     -53.6188       3.0662119
      349.944     -54.7542       3.0652936
      344.649     -51.9229       3.0646298
      350.702     -59.7250       3.0646033
      356.449     -50.7188       3.0644827
      359.360     -59.1504       3.0638971
      355.730     -50.1250       3.0636723
      359.656     -50.3854       3.0626526
      357.746     -52.2375       3.0620008
      353.045     -59.4667       3.0617492
      344.690     -52.7917       3.0610533
      352.784     -54.1083       3.0606344
      348.679     -54.5063       3.0601199
      359.771     -53.0007       3.0593791
      358.506     -53.8917       3.0589454
      345.625     -59.4896       3.0572999
      348.503     -53.5042       3.0556781
      346.800     -49.6583       3.0555792
      349.857     -52.7632       3.0549316
      356.240     -50.0160       3.0546265
      355.047     -55.4146       3.0527720
      348.730     -58.2396       3.0526299
      354.389     -51.2410       3.0517082
      357.489     -57.8292       3.0513706
      358.834     -52.8979       3.0511892
      348.594     -51.0375       3.0511329
      354.989     -51.2118       3.0507801
      349.624     -49.6875       3.0505483
      358.876     -59.1792       3.0500617
      352.391     -58.9042       3.0477076
      354.793     -57.4562       3.0474448
      346.734     -52.0792       3.0473516
      347.373     -54.4490       3.0455501
      348.704     -49.6750       3.0441945
      353.910     -51.6362       3.0439417
      352.737     -59.2196       3.0432699
      357.396     -52.8229       3.0432379
      352.548     -58.8063       3.0429246
      355.368     -58.5507       3.0423951
      359.558     -53.9437       3.0423207
      353.955     -50.1042       3.0413420
      344.854     -56.3757       3.0410454
      352.870     -54.3076       3.0406241
      352.410     -57.9417       3.0403979
      359.478     -59.4549       3.0398595
      358.497     -54.7424       3.0395408
      351.404     -56.5417       3.0371423
      355.337     -54.2875       3.0369995
      355.375     -52.4882       3.0368624
      346.236     -53.0625       3.0363529
      346.699     -54.1688       3.0350783
      351.638     -52.6708       3.0347538
      346.164     -52.6201       3.0332723
      355.974     -55.1917       3.0328715
      348.603     -55.3333       3.0325947
      359.650     -58.9333       3.0321567
      348.423     -50.6854       3.0318928
      348.072     -60.0854       3.0318255
      354.704     -58.0417       3.0314758
      359.655     -58.3965       3.0314436
      344.807     -53.2021       3.0307982
      359.247     -52.1771       3.0306401
      355.876     -53.5812       3.0304763
      357.829     -53.9215       3.0294554
      347.793     -54.2792       3.0275857
